category	-log10(pvalue)	zscore	ratio	molecules	direction
JAK/STAT Signaling	1.58	-0.557	0.617	AKT1, AKT2, AKT3, CDKN1A, CISH, HRAS, IL6, JUN, KRAS, MAP2K1, MAPK3, MRAS, MTOR, NFKB1, NRAS, PIAS1, PIAS2, PIK3CB, PIK3R1, PIK3R3, PTPN11, RALA, RELA, RRAS, SOCS2, SOCS3, SOCS7, STAT3, STAT6		negative
HMGB1 Signaling	1.58	-1.508	0.575	AKT1, AKT2, AKT3, FNBP1, HAT1, HRAS, IL15, IL17F, IL1R1, IL33, IL6, JUN, KRAS, LTB, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAPK12, MAPK14, MAPK3, MAPK8, MRAS, NFKB1, NGFR, NRAS, PIK3CB, PIK3R1, PIK3R3, PLAT, RALA, RELA, RHOA, RHOB, RHOC, RHOJ, RHOQ, RHOT1, RHOT2, RHOU, RND1, RRAS, TGFB1, TGFB2, TGFB3, TLR4, TNFRSF11B, TNFRSF1B, TNFSF12, VCAM1		negative
Protein Ubiquitination Pathway	1.56	0	0.541	ANAPC2, ANAPC5, B2M, CDC23, CRYAB, CUL1, CUL2, DNAJB1, DNAJB2, DNAJB5, DNAJC12, DNAJC19, DNAJC2, DNAJC21, DNAJC28, DNAJC4, DNAJC7, DNAJC9, FBXW7, HLA-A, HSP90AA1, HSPA13, HSPA2, HSPA4L, HSPB3, HSPB6, HSPB7, HSPB8, HSPE1, HSPH1, MED20, MR1, NEDD4L, PRKN, PSMA1, PSMA2, PSMA4, PSMA7, PSMB1, PSMB2, PSMB7, PSMC2, PSMC3, PSMD1, PSMD11, PSMD12, PSMD14, PSMD4, PSMD5, PSMD6, PSME1, SMURF2, STUB1, TAP1, TRAF6, TRAP1, Ubb, UBC, UBE2A, UBE2B, UBE2D1, UBE2D2, UBE2E1, UBE2E2, UBE2H, UBE2J1, UBE2L3, UBE2M, UBE2N, UBE2Q2, UBE2V2, UBE3A, UBR1, UBR2, UCHL1, UCHL5, USP11, USP14, USP16, USP18, USP19, USP24, USP25, USP28, USP29, USP3, USP30, USP34, USP38, USP45, USP47, USP53, USP9X		no direction
Actin Nucleation by ARP-WASP Complex	1.56	-1.706	0.612	ARPC1B, ARPC3, ARPC4, BAIAP2, FNBP1, HRAS, ITGA10, ITGA11, ITGA3, ITGA6, ITGA7, ITGAV, ITGB1, KRAS, MRAS, NCK2, NRAS, RALA, RHOA, RHOB, RHOC, RHOJ, RHOQ, RHOT1, RHOT2, RHOU, RND1, ROCK1, RRAS, WIPF1		negative
Dilated Cardiomyopathy Signaling Pathway	1.56	0.926	0.57	ABCC9, ACTA1, ACTA2, ACTB, ACTC1, ADCY5, ADCY8, AKT1, AKT2, AKT3, BAG3, BAX, CACNA1C, CACNA1H, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, CAMK2D, CAMK2G, DMD, ITPR2, KDM1A, KDM5A, LAMA4, LMNA, MAPK12, MAPK14, MAPK3, MTOR, MYH1, MYH2, MYH3, MYH4, MYH8, MYH9, MYL1, MYL4, MYL9, PRKACA, PRKAR1A, PRKAR2B, PRKCE, PTPN11, TNNC1, TNNI1, TNNI2, TNNI3, TNNT1, TNNT2, TNNT3, TTN		positive
Cancer Drug Resistance By Drug Efflux	1.53	0	0.632	ABCB1, ABCG2, AKT1, AKT2, AKT3, FOXO1, FOXO4, HRAS, KRAS, MAP2K1, MAPK3, mir-133, MRAS, NFKB1, NRAS, PDK1, PIK3CB, PIK3R1, PIK3R3, PTGS2, RALA, RRAS, TP53, YBX1		no direction
Actin Cytoskeleton Signaling	1.49	-0.272	0.546	ACTA1, ACTA2, ACTB, ACTC1, ACTN2, ACTN4, ARHGAP24, ARHGEF1, ARHGEF12, ARPC1B, ARPC3, ARPC4, BAIAP2, BCAR1, BRK1, CD14, CFL2, CRK, CYFIP2, EZR, F2, F2R, FGF1, FGF12, FGF13, FGF16, FGF18, FGF2, FGF6, FLNA, GNA13, HRAS, ITGA10, ITGA11, ITGA3, ITGA6, ITGA7, ITGAV, ITGB1, KRAS, LBP, MAP2K1, MAPK3, MPRIP, MRAS, MYH1, MYH2, MYH3, MYH4, MYH8, MYH9, MYL1, MYL4, MYL9, MYLK, MYLK3, MYLPF, NRAS, PAK4, PDGFA, PDGFB, PDGFC, PIK3CB, PIK3R1, PIK3R3, PTK2, RALA, RDX, RHOA, ROCK1, RRAS, SLC9A1, TLN2, TRIO, TTN, VCL, WASF2		negative
IL-23 Signaling Pathway	1.47	0.775	0.682	AKT1, AKT2, AKT3, IL12RB2, IL17F, NFKB1, NFKBIA, PIK3CB, PIK3R1, PIK3R3, RELA, RORA, RUNX1, SOCS3, STAT3		positive
LXR/RXR Activation	1.47	0.928	0.59	ABCA1, ABCG1, APOE, C3, CD14, FDFT1, HADH, IL1R1, IL1RAP, IL33, IL6, IRF3, ITIH4, LBP, LDLR, LPL, MLXIPL, MYLIP, NFKB1, NGFR, NR1H2, NR1H3, NR1H4, PLTP, PTGS2, RBP4, RELA, RXRG, SCD, SERPINF1, SREBF1, TF, TLR4, TNFRSF11B, TNFRSF1B, TTR		positive
D-myo-inositol (1,4,5)-trisphosphate Degradation	1.46	-0.707	0.8	BPNT1, BPNT2, IMPA1, INPP1, INPP5A, INPP5E, INPP5K, INPPL1		negative
GM-CSF Signaling	1.46	-1.46	0.614	AKT1, AKT2, AKT3, CAMK2D, CAMK2G, CCND1, CISH, CSF2RB, ETS1, HRAS, KRAS, MAP2K1, MAPK3, MRAS, NRAS, PIK3CB, PIK3R1, PIK3R3, PIM1, PPP3CA, PPP3CB, PPP3R1, PTPN11, RALA, RRAS, RUNX1, STAT3		negative
CSDE1 Signaling Pathway	1.41	-1.528	0.629	AGO2, AGO4, AKT1, AKT2, AKT3, APAF1, CCND3, CNOT6, CSDE1, CTNNB1, CTTN, DDX6, HNRNPC, LSM14A, PABPC4, PABPN1, PAIP1, SNAI2, SYNCRIP, TGFB1, TNC, TRIO		negative
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	1.4	2.887	0.706	ABHD5, AGPAT2, AGPAT3, AGPAT4, CDS2, CRLS1, GPAT3, LPGAT1, MBOAT1, MBOAT7, PGS1, PTPMT1		positive
PEDF Signaling	1.39	0	0.593	AKT1, AKT2, AKT3, BDNF, FAS, HRAS, IKBKB, IKBKG, KRAS, MAPK12, MAPK14, MAPK3, MRAS, NFKB1, NFKBIA, NFKBIB, NRAS, PIK3CB, PIK3R1, PIK3R3, PNPLA2, PPARG, RALA, RELA, RHOA, ROCK1, RRAS, SERPINF1, SRF, TP53, WASF2, ZEB1		no direction
TGF-β Signaling	1.36	-1.3	0.586	ACVR1, ACVR2A, BMPR1B, BMPR2, HRAS, INHBB, JUN, KRAS, MAP2K1, MAP2K3, MAP2K6, MAPK12, MAPK14, MAPK3, MAPK8, MRAS, NRAS, PITX2, PMEPA1, RALA, RRAS, SKI, SMAD3, SMAD4, SMURF2, TFE3, TGFB1, TGFB2, TGFB3, TGFBR2, TRAF6, VDR, ZFYVE9, ZNF423		negative
Regulation of the Epithelial-Mesenchymal Transition Pathway	1.35	0	0.553	AKT1, AKT2, AKT3, APH1B, CDH2, CTNNB1, DVL3, EGFR, EGR1, ETS1, FGF1, FGF12, FGF13, FGF16, FGF18, FGF2, FGF6, FGFR2, FGFRL1, FZD7, HRAS, KRAS, MAML1, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAPK3, MET, MRAS, NCSTN, NFKB1, NOTCH1, NOTCH3, NRAS, PARD6G, PIK3CB, PIK3R1, PIK3R3, PSEN1, PTPN11, RALA, RELA, RHOA, RRAS, SMAD3, SMAD4, SNAI2, STAT3, TGFB1, TGFB2, TGFB3, TGFBR2, TWIST1, WNT9A, ZEB1, ZEB2		no direction
CD40 Signaling	1.35	0	0.61	IKBKB, IKBKG, JUN, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAPK12, MAPK14, MAPK3, MAPK8, MAPKAPK2, NFKB1, NFKBIA, NFKBIB, PIK3CB, PIK3R1, PIK3R3, PTGS2, RELA, STAT3, TNFAIP3, TRAF2, TRAF3, TRAF6		no direction
Apelin Cardiac Fibroblast Signaling Pathway	1.34	1.732	0.684	AKT1, AKT2, AKT3, APLN, CCN2, IL6, PRKAA1, PRKAB1, PRKAB2, PRKAG3, TGFB1, TGFB2, TGFB3		positive
tRNA Charging	1.34	-2.496	0.684	DARS1, EPRS1, FARS2, HARS2, IARS1, IARS2, LARS1, NARS1, NARS2, RARS1, TARS1, TARS3, YARS1		negative
Cardiac Hypertrophy Signaling	1.33	-2.357	0.537	ADCY5, ADCY8, ADRB2, ADSS2, AKT1, CACNA1C, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, Calm1 (includes others), CHP1, EIF2B2, EIF2B4, FNBP1, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, HRAS, IL6, IL6R, IRS1, JUN, KRAS, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAP3K1, MAP3K10, MAP3K2, MAP3K5, MAPK12, MAPK14, MAPK3, MAPK8, MAPKAPK2, MAPKAPK3, MEF2A, MEF2C, MEF2D, MRAS, MTOR, MYL1, MYL4, MYL9, MYLPF, NRAS, PDIA3, PIK3CB, PIK3R1, PIK3R3, PLCD4, PPP3CA, PPP3CB, PPP3R1, PRKACA, PRKAR1A, PRKAR2B, RALA, RHOA, RHOB, RHOC, RHOJ, RHOQ, RHOT1, RHOT2, RHOU, RND1, ROCK1, RRAS, SRF, TGFB1, TGFB2, TGFB3, TGFBR2		negative
Neuregulin Signaling	1.33	-0.192	0.576	AKT1, AKT2, AKT3, CRK, EGFR, ERBB2, ERBB3, ERBB4, ERBIN, ERRFI1, HRAS, HSP90AA1, ITGA10, ITGA11, ITGA3, ITGA6, ITGA7, ITGAV, ITGB1, KRAS, MAP2K1, MAPK3, MRAS, MTOR, NRAS, PDPK1, PICK1, PIK3R1, PIK3R3, PRKCE, PRKCI, PRKCQ, PSEN1, PTPN11, RALA, RNF41, RRAS, TGFA		negative
Angiopoietin Signaling	1.33	0	0.605	AKT1, AKT2, AKT3, CRK, FOXO1, GRB14, HRAS, IKBKB, IKBKG, KRAS, MRAS, NFKB1, NFKBIA, NFKBIB, NRAS, PAK4, PIK3CB, PIK3R1, PIK3R3, PTK2, PTPN11, RALA, RASA1, RELA, RRAS, TEK		no direction
Chronic Myeloid Leukemia Signaling	1.32	0	0.574	AKT1, AKT2, AKT3, CCND1, CCND3, CDKN1A, CRK, E2F6, GAB2, HDAC11, HDAC2, HDAC4, HDAC5, HDAC6, HDAC9, HRAS, IKBKB, IKBKG, KRAS, MAP2K1, MAPK3, MRAS, NFKB1, NRAS, PIK3CB, PIK3R1, PIK3R3, PTPN11, RALA, RBL2, RELA, RRAS, SMAD3, SMAD4, TGFB1, TGFB2, TGFB3, TGFBR2, TP53		no direction
Cholecystokinin/Gastrin-mediated Signaling	1.31	-0.949	0.569	BCAR1, CREM, EGFR, FNBP1, GNA13, HRAS, IL33, ITPR2, JUN, KRAS, MAP2K1, MAP2K3, MAP2K6, MAPK12, MAPK14, MAPK3, MAPK7, MAPK8, MEF2A, MEF2C, MEF2D, MRAS, NRAS, PRKCE, PRKCI, PRKCQ, PTGS2, PTK2, RALA, RHOA, RHOB, RHOC, RHOJ, RHOQ, RHOT1, RHOT2, RHOU, RND1, ROCK1, RRAS, SRF		negative
RHOA Signaling	1.31	-0.324	0.571	ACTA1, ACTA2, ACTB, ACTC1, ARHGAP5, ARHGAP6, ARHGEF1, ARHGEF12, ARPC1B, ARPC3, ARPC4, BAIAP2, CDC42EP3, CFL2, DLC1, EZR, GNA13, LPAR4, LPAR6, MPRIP, MYL1, MYL4, MYL9, MYLK, MYLK3, MYLPF, NRP2, PIKFYVE, PTK2, RAPGEF2, RDX, RHOA, RHPN2, ROCK1, SEMA3F, SEPTIN11, SEPTIN7, SEPTIN8, SEPTIN9, TTN		negative
Remodeling of Epithelial Adherens Junctions	1.3	-0.707	0.596	ACTA1, ACTA2, ACTB, ACTC1, ACTN2, ACTN4, ARPC1B, ARPC3, ARPC4, CBLL1, CLIP1, CTNNA1, CTNNB1, DNM1L, DNM3, HGS, MAPRE1, MAPRE3, MET, RAB5C, RALA, TUBA1A, TUBB, TUBB2B, TUBB6, TUBG1, VCL, ZYX		negative
Renal Cell Carcinoma Signaling	1.28	-0.655	0.588	AKT1, AKT2, AKT3, CRK, CUL2, EGLN3, ETS1, FH, HRAS, JUN, KRAS, MAP2K1, MAPK3, MET, MRAS, NRAS, PAK4, PDGFB, PIK3CB, PIK3R1, PIK3R3, PTPN11, RALA, RAPGEF1, RRAS, SLC2A1, TGFA, TGFB1, Ubb, UBC		negative
T Cell Receptor Signaling	1.27	-0.14	0.553	AKT1, AKT1S1, AKT2, AKT3, B2M, BCL10, Calm1 (includes others), CD3G, CD80, CHP1, CTNNB1, DUSP6, HLA-A, HRAS, IKBKB, IKBKG, ITGA3, ITGB1, JUN, KRAS, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAP3K1, MAPK12, MAPK14, MAPK3, MAPK8, MRAS, MTOR, NFAT5, NFATC1, NFATC2, NFKB1, NFKBIA, NFKBIB, NRAS, PDK1, PIK3CB, PIK3R1, PIK3R3, PPP3CA, PPP3CB, PPP3R1, PRKCQ, PTPN11, RALA, RASA1, RELA, RPTOR, RRAS		negative
Epithelial Adherens Junction Signaling	1.26	2.889	0.547	ACVR1, ACVR2A, AFDN, AKT1, AKT2, AKT3, ARHGEF17, ARPC1B, ARPC3, ARPC4, BAIAP2, BMPR2, CDH2, CFL2, CRK, CTNNA1, CTNNB1, EGFR, FER, FGF1, FRMD6, HRAS, KRAS, MET, MRAS, MYH2, MYH4, NECTIN2, NECTIN3, NOTCH1, NOTCH3, NRAS, PAK4, PPM1J, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, PRKAA1, PRKAB1, PRKAB2, PRKAG3, RALA, RAPGEF1, RHOA, ROCK1, RRAS, SNAI2, STK3, STK4, TGFB2, TGFBR2, TNS1, VCL, YAP1, YWHAB, YWHAG, YWHAZ		positive
Molecular Mechanisms of Cancer	1.26	0	0.519	ADCY5, ADCY8, AKT1, AKT2, AKT3, APAF1, APH1B, ARHGEF1, ARHGEF12, ARHGEF17, ARHGEF9, BAK1, BAX, BCL2L11, BMP8A, BMPR1B, BMPR2, CAMK2D, CAMK2G, CASP3, CCND1, CCND3, CCNE2, CDC25A, CDK16, CDK19, CDK8, CDK9, CDKN1A, CRK, CTNNA1, CTNNB1, E2F6, FADD, FANCD2, FAS, FNBP1, FOXO1, FZD7, GAB2, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, HAT1, HDAC11, HDAC2, HDAC4, HDAC5, HDAC6, HDAC9, HIPK2, HRAS, IRS1, ITGA10, ITGA11, ITGA3, ITGA6, ITGA7, ITGAV, ITGB1, JUN, KRAS, LRP1, MAP2K1, MAP2K3, MAP2K6, MAP3K5, MAPK12, MAPK14, MAPK3, MAPK8, MRAS, NCSTN, NF1, NFKB1, NFKBIA, NFKBIB, NOTCH1, NRAS, PAK4, PIK3CB, PIK3R1, PIK3R3, PRKACA, PRKAR1A, PRKAR2B, PRKCE, PRKCI, PRKCQ, PSEN1, PTK2, PTPN11, RALA, RAPGEF1, RASA1, RBL2, RELA, RHOA, RHOB, RHOC, RHOJ, RHOQ, RHOT1, RHOT2, RHOU, RND1, RRAS, SMAD3, SMAD4, STK36, SUFU, TGFB1, TGFB2, TGFB3, TGFBR2, TP53, WNT9A		no direction
BAG2 Signaling Pathway	1.25	-0.728	0.579	CASP3, CDKN1A, HSP90AA1, HSPA2, MAPK14, MAPK3, MAPKAPK2, MAPT, NFKB1, PINK1, PRKN, PSMA1, PSMA2, PSMA4, PSMA7, PSMB1, PSMB2, PSMB7, PSMC2, PSMC3, PSMD1, PSMD11, PSMD12, PSMD14, PSMD4, PSMD5, PSMD6, PSME1, PSME4, RELA, STUB1, TP53, UBE2D1		negative
Role of IL-17F in Allergic Inflammatory Airway Diseases	1.25	2.111	0.652	ATF4, CREB3L2, CXCL10, IL17F, IL17RA, IL17RC, IL6, MAP2K1, MAPK3, NFKB1, RELA, RPS6KA2, RPS6KA5, TRAF3IP2, TRAF6		positive
Role of Tissue Factor in Cancer	1.23	0	0.571	AKT1, AKT2, AKT3, ARRB1, CASP3, CCN1, CCN2, CFL2, EGFR, EGR1, F2, F2RL1, F3, GNA13, HRAS, ITGA3, ITGA6, ITGAV, ITGB1, KRAS, MAPK12, MAPK14, MAPK3, MRAS, MTOR, NRAS, P4HB, PIK3CB, PIK3R1, PIK3R3, PTPN11, RALA, RPS6KA2, RPS6KA5, RRAS, TP53		no direction
Amyloid Processing	1.23	-0.535	0.605	AKT1, AKT2, AKT3, APH1B, APP, BACE1, CAPN1, CAPN2, CAPN3, CAPN7, CAPNS1, CSNK1A1, CSNK1E, MAPK12, MAPK14, MAPK3, MAPT, NCSTN, PRKACA, PRKAR1A, PRKAR2B, PRKCE, PSEN1		negative
IL-17A Signaling in Airway Cells	1.23	1.043	0.605	AKT1, AKT2, AKT3, IKBKB, IKBKG, IL17RA, IL17RC, IL6, MAP2K1, MAPK12, MAPK14, MAPK3, MAPK8, NFKB1, NFKBIA, NFKBIB, PIK3CB, PIK3R1, PIK3R3, RELA, STAT3, TRAF3IP2, TRAF6		positive
IL-7 Signaling Pathway	1.23	-0.229	0.605	AKT1, AKT2, AKT3, BAK1, BAX, CCND1, CCND3, CDC25A, FOXO1, FOXO4, JUN, MAPK12, MAPK14, MAPK3, MCL1, MET, NFATC1, PDPK1, PIK3CB, PIK3R1, PIK3R3, PTK2, SLC2A1		negative
PFKFB4 Signaling Pathway	1.23	-1.279	0.605	AMPD1, ATF4, CREB3L2, FBP1, FBP2, FGF2, GPI, HK2, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAPK3, PFKM, PRKACA, PRKAR1A, PRKAR2B, RPS6KA5, TGFB1, TGFB2, TGFB3, TKT, TP53		negative
Sumoylation Pathway	1.22	-0.707	0.569	AR, ARHGDIA, CBX4, CEBPA, ETS1, FAS, FNBP1, HDAC2, JUN, KDM1A, MAP3K5, MAPK12, MAPK8, NFKB1, NFKBIA, PCNA, PIAS1, RCOR1, RHOA, RHOB, RHOC, RHOJ, RHOQ, RHOT1, RHOT2, RHOU, RND1, RPA1, SENP5, SENP6, SERBP1, SMAD4, SP3, STUB1, SUMO3, TP53, ZEB1		negative
IL-9 Signaling	1.2	1	0.688	CISH, IRS1, IRS2, NFKB1, PIK3CB, PIK3R1, PIK3R3, RELA, SOCS2, SOCS3, STAT3		positive
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	1.2	0	0.525	ADAMTS4, AKT1, AKT2, AKT3, ATF4, Calm1 (includes others), CAMK2D, CAMK2G, CCL5, CCND1, CEBPA, CEBPG, CHP1, CREB3L2, CSNK1A1, CSNK1E, CTNNB1, DAAM1, F2RL1, FGF2, FZD7, HRAS, IKBKB, IKBKG, IL15, IL16, IL17RA, IL17RC, IL1R1, IL1RAP, IL33, IL6, IL6R, IL6ST, IRAK1, IRAK2, JUN, KRAS, LRP1, LTB, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAPK14, MAPK3, MAPKAPK2, MRAS, MYD88, NFAT5, NFATC1, NFATC2, NFKB1, NFKBIA, NFKBIB, NGFR, NRAS, PDGFA, PDGFB, PDGFC, PDIA3, PIK3CB, PIK3R1, PIK3R3, PLCD4, PPP3CA, PPP3CB, PPP3R1, PRKCE, PRKCI, PRKCQ, RALA, RELA, RHOA, ROCK1, RRAS, SFRP1, SOCS3, STAT3, TGFB1, TLR1, TLR4, TLR5, TLR6, TNFRSF11B, TNFRSF1B, TRAF2, TRAF3, TRAF3IP2, TRAF6, VCAM1, VEGFD, WNT9A		no direction
FLT3 Signaling in Hematopoietic Progenitor Cells	1.18	-0.392	0.587	AKT1, AKT2, AKT3, ATF4, CREB3L2, EIF4EBP1, GAB2, HRAS, KRAS, MAP2K1, MAPK12, MAPK14, MAPK3, MRAS, MTOR, NRAS, PDPK1, PIK3CB, PIK3R1, PIK3R3, PTPN11, RALA, RPS6KA2, RPS6KA5, RRAS, STAT3, STAT6		negative
Kinetochore Metaphase Signaling Pathway	1.18	-0.6	0.587	ANAPC13, ANAPC2, ANAPC5, ARPP19, BOD1, CDC16, CDC23, CENPA, CENPC, CENPE, H2AX, H2AZ2, PPP1R14C, PPP1R3A, PPP1R7, PPP2R5B, Ppp2r5c, PPP2R5D, RAD21, SMC1A, SMC3, SPDL1, STAG1, STAG2, STAG3, ZW10, ZWINT		negative
IL-6 Signaling	1.18	0.146	0.551	ABCB1, AKT1, AKT2, AKT3, CD14, HRAS, HSPB3, HSPB7, IKBKB, IKBKG, IL1R1, IL1RAP, IL33, IL6, IL6R, IL6ST, JUN, KRAS, LBP, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAPK12, MAPK14, MAPK3, MAPK8, MAPKAPK2, MCL1, MRAS, NFKB1, NFKBIA, NFKBIB, NGFR, NRAS, PIK3CB, PIK3R1, PIK3R3, PTPN11, RALA, RELA, RRAS, SOCS3, SRF, STAT3, TNFRSF11B, TNFRSF1B, TRAF2, TRAF6		positive
Phagosome Maturation	1.18	0	0.553	ATP6AP1, ATP6AP2, ATP6V0A1, ATP6V0C, ATP6V0D1, ATP6V0E2, ATP6V1A, ATP6V1C1, ATP6V1E1, B2M, CALR, CTSD, CTSF, CTSH, CTSV, CTSZ, Dync1i2, DYNC1LI1, DYNLL1, DYNLRB1, DYNLT1, EEA1, GOSR2, GPAA1, HLA-A, LAMP1, LAMP2, MR1, NAPB, NAPG, PIKFYVE, PRDX6, RAB5C, RILP, STX16, TAP1, TUBA1A, TUBB, TUBB2B, TUBB6, TUBD1, TUBG1, VPS33A, VPS37A, VPS39, VPS41, VTI1B		no direction
SPINK1 General Cancer Pathway	1.17	0	0.621	AKT1, AKT2, AKT3, EGFR, HRAS, IL6, IL6R, KRAS, MAP2K1, MAPK3, MRAS, NRAS, PIK3CB, PIK3R1, PIK3R3, RALA, RRAS, STAT3		no direction
ID1 Signaling Pathway	1.17	-0.124	0.537	ABI1, ACVR1, ACVR2A, AKT1, AKT2, AKT3, APP, ATF3, ATF6, BAX, BHLHB9, BHLHE40, Bhlhe41, BMPR1B, BMPR2, CAV1, CCN2, CCND1, CDKN1A, CHRNB1, CHRNE, CTNNB1, EGFR, EGR1, ETS1, FGF2, FGFR2, FGFRL1, HRAS, ID1, IL6, IL6R, KRAS, LIFR, MAPK12, MAPK14, MAPK3, MRAS, NFKB1, NGFR, NRAS, PDGFC, PIK3CB, PIK3R1, PIK3R3, PLAC8, PLXNB1, PTGER4, RALA, RHOC, RRAS, SEMA4C, SMAD3, SMAD4, STAT3, TGFB1, TGFB2, TGFB3, TGFBR2, TGM2, TNFRSF11B, TNFRSF1B, TP53, VEGFD, ZNF148		negative
HIF1α Signaling	1.17	1.231	0.537	AKT1, AKT2, AKT3, CAMK2D, CAMK2G, CCNG2, CDKN1A, CHP1, COPS5, CUL2, EDN1, EGLN1, EGLN2, EGLN3, EIF4EBP1, FGF2, GPI, HIF1AN, HK2, HRAS, HSP90AA1, HSPA2, IL6, IL6R, JUN, KDM1A, KRAS, LDHA, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAPK3, MET, MKNK1, MKNK2, MMP14, MRAS, MTOR, NCOA1, NRAS, PDGFB, PDGFC, PIK3CB, PIK3R1, PIK3R3, PKM, PPP3CA, PPP3CB, PPP3R1, PRKCE, PRKCI, PRKCQ, RALA, RRAS, SLC2A1, SLC2A4, SLC2A5, STAT3, STUB1, TF, TGFA, TGFB1, TGFB2, TP53, VEGFD		positive
PPARα/RXRα Activation	1.17	2.101	0.537	ABCA1, ACOX1, ACVR1, ACVR2A, ADCY5, ADCY8, ADIPOR1, ADIPOR2, AP2A2, BMPR2, GHR, GOT2, GPD1, GPD2, HRAS, HSP90AA1, IKBKB, IKBKG, IL1R1, IL1RAP, IL6, INSR, IRS1, JUN, KRAS, LPL, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAPK14, MAPK3, MAPK8, MED1, MED12, MEF2C, MRAS, NFKB1, NFKBIA, NFKBIB, NR2C2, NR2F1, NRAS, PDIA3, PLCD4, PPARA, PPARGC1A, PRKAA1, PRKAB1, PRKAB2, PRKACA, PRKAG3, PRKAR1A, PRKAR2B, RALA, RELA, RRAS, SLC27A1, SMAD3, SMAD4, TGFB1, TGFB2, TGFB3, TGFBR2, TGS1, TRAF6		positive
Systemic Lupus Erythematosus In T Cell Signaling Pathway	1.17	0.62	0.536	AKT1, AKT1S1, AKT2, AKT3, ATF4, B2M, CASP2, CASP3, CASQ1, CD3G, CD44, CD80, CHP1, CREB3L2, CREM, ELF1, ESR1, EZR, FAS, FNBP1, GADD45A, GNA13, GNAI2, HLA-A, HRAS, IL6, JUN, KRAS, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAPK3, MRAS, MTOR, NFATC2, NRAS, PDK1, PIK3CB, PIK3R1, PIK3R3, PPM1J, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, PPP3CA, PPP3CB, PPP3R1, PTK2, RALA, RDX, RHOA, RHOB, RHOC, RHOJ, RHOQ, RHOT1, RHOT2, RHOU, RND1, ROCK1, RPTOR, RRAS, S1PR3, STAT3, STIM1		positive
BEX2 Signaling Pathway	1.16	0.557	0.58	AKT1, AKT2, AKT3, BAK1, CCND1, CDH2, CDKN1A, CTNNB1, ERBB2, JUN, MAPK12, MAPK8, MTOR, NFKB1, NFKBIA, NGFR, PDGFC, PPM1J, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, RELA, SMARCB1, SPP1, STAT3, TSC1, TSC2, VEGFD		positive
B Cell Activating Factor Signaling	1.15	-2.183	0.613	IKBKB, IKBKG, JUN, MAP2K7, MAP3K1, MAPK12, MAPK14, MAPK8, NFAT5, NFATC1, NFATC2, NFKB1, NFKBIA, NFKBIB, RELA, TNFRSF13C, TRAF2, TRAF3, TRAF6		negative
CNTF Signaling	1.15	0.229	0.613	AKT1, HRAS, IL6ST, KRAS, LIFR, MAP2K1, MAPK3, MRAS, MTOR, NRAS, PIK3CB, PIK3R1, PIK3R3, PTPN11, RALA, RPS6KA2, RPS6KA5, RRAS, STAT3		positive
Role of IL-17A in Arthritis	1.15	0	0.613	CCL5, IL17RA, IL17RC, MAP2K1, MAP2K3, MAP2K6, MAPK12, MAPK14, MAPK3, MAPK8, MAPKAPK2, NFKB1, NFKBIA, NFKBIB, PIK3CB, PIK3R1, PIK3R3, PTGS2, RELA		no direction
Role of MAPK Signaling in the Pathogenesis of Influenza	1.14	0	0.571	AKT1, AKT2, AKT3, BAX, CASP3, CCL5, CXCL10, HRAS, KRAS, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAP3K5, MAPK12, MAPK14, MAPK3, MAPK8, MRAS, NRAS, PLA2G3, PLA2G4A, PLA2G4E, PLA2R1, PLAAT3, PLB1, PNPLA8, PRDX6, PTGS2, RABGEF1, RALA, RRAS		no direction
Paxillin Signaling	1.13	0.557	0.567	ACTA1, ACTA2, ACTB, ACTC1, ACTN2, ACTN4, BCAR1, CRK, HRAS, ITGA10, ITGA11, ITGA3, ITGA6, ITGA7, ITGAV, ITGB1, KRAS, MAPK12, MAPK14, MAPK8, MRAS, NCK2, NRAS, PAK4, PARVA, PIK3CB, PIK3R1, PIK3R3, PTK2, PTPN12, RALA, RRAS, TLN2, VCL		positive
