category	functions	disease	pvalue	state	zscore	Notes	bias_zscore	molecules	no_molecules
Cellular Development, Skeletal and Muscular System Development and Function, Tissue Development	differentiation	Differentiation of skeletal muscle	0.0364	 	-0.647	 	-0.649	CDH2, MAPK14, AKT1, MED20, BNIP2, MTLN, ASB2, ATF3, MYF5, BTG2, STAT3, ANKRD1, SNW1, SAP30, YBX1, MEF2D, mir-1, PEG3, PMP22, KRAS, SMYD1, NOTCH1, MYF6, LEMD3, IGFBP5, Cops2, EGR1, TRIM27, FGF2, KLHL41, MYOD1, MEF2C, HEYL, EZH2, EOMES, SOX11, MYOG, SSPN, MAP2K6	39
Organ Development, Organ Morphology, Skeletal and Muscular System Development and Function	relaxation	Relaxation of skeletal muscle	0.0428	 	0.152	 	0.147	KCNJ2, MTOR, ATP2A1, PVALB, DIO2, SRL	6
Organismal Functions	energy homeostasis	Energy homeostasis	0.0428	 	1	 	0.993	LPIN1, SLN, FITM2, CNR1, LPIN2, UCP3	6
Cell Death and Survival, Cellular Compromise, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	atrophy	Atrophy of myofiber	0.045	 	1.762	 	1.774	SCYL1, USP19, ALS2, DICER1, MYH4, EPG5, TNNT1, TTN, ITGA7	9
Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	atrophy	Atrophy of skeletal muscle	0.0467	 	-0.517	 	-0.52	AKT1, MYD88, CHRNE, NDRG1, GJC1, IL6, ATF3, SCYL1, TLR4, HTT, CBLB, HSD11B1, DDX5, HDAC4, TRAF6, HDAC5, H6PD, IKBKB, KL, AKT2, HDAC6, ATF4, ZFAND5, FBXO32, MYOG, GADD45A	26
Cellular Growth and Proliferation	expansion	Expansion of cells	0.047	 	-1.067	 	-1.067	STAT3, ITGB1, EGLN1, FGF2	4
Cell Cycle	cleavage	Cleavage of cells	0.047	 	0	 	0	RYR1, PRKAB1, DMD, PRKAB2	4
Organ Morphology, Organismal Functions	healing	Healing of skeletal muscle	0.047	 	0	 	0	STAT3, HOPX, SSPN, FST	4
Organ Morphology, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders, Skeletal and Muscular System Development and Function	lack	Lack of muscle spindle	0.047	 	0	 	0	EGR3, NGFR, NTF3, BAX	4
Organ Morphology, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders, Skeletal and Muscular System Development and Function	lack	Lack of skeletal muscle	0.047	 	0	 	0	MYF5, MYF6, MYLPF, MYOD1	4
Nutritional Disease, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders, Skeletal and Muscular System Development and Function, Tissue Morphology	loss	Loss of muscle	0.047	 	0	 	0	HDAC5, PPARGC1A, TNFSF12, HDAC4	4
Behavior	running	Running	0.047	 	0	 	-0.012	IL15, PRKAB1, ATP1A2, PRKAB2	4
Skeletal and Muscular System Development and Function	force generation	Force generation of hindlimb muscle	0.047	 	0.152	 	0.152	PPARGC1A, MTOR, TNFSF12, NEB	4
Cell-To-Cell Signaling and Interaction, Cellular Assembly and Organization, Skeletal and Muscular System Development and Function	fusion	Fusion of muscle precursor cells	0.047	 	1.982	 	1.971	ITGA3, PRKCQ, Wasl, PTK2	4
Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	damage	Damage of muscle	0.0483	 	-0.58	 	-0.568	SGCB, HDAC2, FGF6, PPP3CB, YAP1, HADHA, CCN2, SYNM, CFL2, CD47, SGCA, PPARGC1A, MYOF, PPP3R1, EPG5, PFKM, COQ8A, DAG1, DMD	19
Organismal Injury and Abnormalities	degeneration	Organ Degeneration	0.0483	 	-0.58	 	-0.568	SGCB, HDAC2, FGF6, PPP3CB, YAP1, HADHA, CCN2, SYNM, CFL2, CD47, SGCA, PPARGC1A, MYOF, PPP3R1, EPG5, PFKM, COQ8A, DAG1, DMD	19
